"id","code","name"
occupation_work_personnel_training_modality_127040,127040,"PRESIDENTE DEL DIRECTORIO, SERVICIOS PUBLICOS Y FINANCIEROS",
occupation_work_personnel_training_modality_127041,127041,"SUB DIRECTOR DE EMPRESA, SERVICIOS PUBLICOS Y FINANCIEROS",
occupation_work_personnel_training_modality_128001,128001,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/AGRICULT",
occupation_work_personnel_training_modality_128002,128002,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/PESCA",
occupation_work_personnel_training_modality_128003,128003,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/SILVICUL",
occupation_work_personnel_training_modality_129001,129001,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/INDUSTRI",
occupation_work_personnel_training_modality_129003,129003,DIRECTOR DE EXPLOTACION DE MINAS Y CANTERAS,
occupation_work_personnel_training_modality_129004,129004,GERENTE DE PLANTA,
occupation_work_personnel_training_modality_129005,129005,GERENTE DE PRODUCCION,
occupation_work_personnel_training_modality_129006,129006,GERENTE INDUSTRIAL,
occupation_work_personnel_training_modality_129007,129007,SUPER INTENDENTE DE PLANTA,
occupation_work_personnel_training_modality_129008,129008,SUPER INTENDENTE DE PRODUCCION,
occupation_work_personnel_training_modality_129009,129009,SUPERVISOR DE PRODUCCION,
occupation_work_personnel_training_modality_131001,131001,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/CONSTRUC",
occupation_work_personnel_training_modality_132001,132001,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMERCIO MAYORISTA",
occupation_work_personnel_training_modality_132002,132002,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMERCIO MAYORISTA EXPORTACIÓN",
occupation_work_personnel_training_modality_132003,132003,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMERCIO MAYORISTA IMPORTACIÓN",
occupation_work_personnel_training_modality_132004,132004,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMERCIO MINORISTA",
occupation_work_personnel_training_modality_132005,132005,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMERCIO MINORISTA SUPERMERCADOS",
occupation_work_personnel_training_modality_132006,132006,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMERCIO MINORISTA TIENDAS",
occupation_work_personnel_training_modality_132007,132007,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/REPARAC.",
occupation_work_personnel_training_modality_133001,133001,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/HOTELES",
occupation_work_personnel_training_modality_133002,133002,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/RESTAURA",
occupation_work_personnel_training_modality_134001,134001,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/ALMACENA",
occupation_work_personnel_training_modality_134002,134002,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMUNICACIONES",
occupation_work_personnel_training_modality_134003,134003,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMUNICACIONES CORREOS",
occupation_work_personnel_training_modality_134004,134004,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/COMUNICACIONES TELECOMUNICACIONES",
occupation_work_personnel_training_modality_134005,134005,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/TRANSPORTE",
occupation_work_personnel_training_modality_134006,134006,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/TRANSPORTE GASODUCTOS Y OLEODUCTOS",
occupation_work_personnel_training_modality_134007,134007,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/TRANSPORTE MERCANCÍAS",
occupation_work_personnel_training_modality_134008,134008,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/TRANSPORTE PASAJEROS",
occupation_work_personnel_training_modality_135001,135001,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/ACTIVIDADES CULTURALES",
occupation_work_personnel_training_modality_135002,135002,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/ACTIVIDADES DEPORTIVAS",
occupation_work_personnel_training_modality_135003,135003,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/ACTIVIDADES RECREATIVAS",
occupation_work_personnel_training_modality_135004,135004,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/ADMINIST",
occupation_work_personnel_training_modality_135005,135005,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/AGENCIAS",
occupation_work_personnel_training_modality_135006,135006,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/ESPECTAC",
occupation_work_personnel_training_modality_135007,135007,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/INSTITUC",
occupation_work_personnel_training_modality_135008,135008,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/SALUD",
occupation_work_personnel_training_modality_135009,135009,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/SERVICIO",
occupation_work_personnel_training_modality_135010,135010,"DIRECTOR DE DEPARTAMENTO, PRODUCCION Y OPERACIONES/TRABAJO",
occupation_work_personnel_training_modality_135011,135011,"DIRECTOR DE PLATO, CINE",
occupation_work_personnel_training_modality_135012,135012,DIRECTOR TEATRAL,
occupation_work_personnel_training_modality_135013,135013,"DIRECTOR, MUSICAL",
occupation_work_personnel_training_modality_135014,135014,"PRODUCTOR, CINE",
occupation_work_personnel_training_modality_135015,135015,"PRODUCTOR, RADIO",
occupation_work_personnel_training_modality_135016,135016,"PRODUCTOR, TEATRO",
occupation_work_personnel_training_modality_135017,135017,"PRODUCTOR, TELEVISION",
occupation_work_personnel_training_modality_135018,135018,"REGIDOR, TEATRO",
occupation_work_personnel_training_modality_136001,136001,DECANO,
occupation_work_personnel_training_modality_136002,136002,DECANO DE FACULTAD,
occupation_work_personnel_training_modality_136003,136003,DIRECTOR DE INSTITUCIÓN EDUCATIVA O DIRECTOR DE CENTRO EDUCATIVO,
occupation_work_personnel_training_modality_136004,136004,DIRECTOR DE ESCUELA PROFESIONAL,
occupation_work_personnel_training_modality_136005,136005,"DIRECTOR DE ESEP/SENATI, ETC.",
occupation_work_personnel_training_modality_136006,136006,DIRECTOR DE ESTUDIOS,
occupation_work_personnel_training_modality_136007,136007,DIRECTOR DE INSTITUTO ACADEMICO,
occupation_work_personnel_training_modality_136008,136008,DIRECTOR DE NUCLEOS EDUCATIVOS COMUNALES,
occupation_work_personnel_training_modality_136009,136009,DIRECTOR DE UNIDAD DE GESTIÓN EDUCATIVA LOCAL O DIRECTOR DE UNIDAD DE SERVICIOS EDUCATIVOS,
occupation_work_personnel_training_modality_136010,136010,DIRECTOR DEPARTAMENTAL DE EDUCACION,
occupation_work_personnel_training_modality_136011,136011,DIRECTOR UNIVERSITARIO,
occupation_work_personnel_training_modality_136012,136012,RECTOR,
occupation_work_personnel_training_modality_136013,136013,VICE-RECTOR,
